ひっかき回す	引っ掻き回す
引っ掻き回す	ひっかき回す
罪滅ぼし	expiation/atonement
expiation/atonement	罪滅ぼし
贖罪	しょくざい
しょくざい	贖罪
漂う	ただよう
ただよう	漂う
躊躇う	ためらう
ためらう	躊躇う
聳える	そびえる
そびえる	聳える
聳え立つ	そびえたつ
そびえたつ	聳え立つ
豊穣	ほうじょう
築く	きずく
容易い	たやすい
たやすい	容易い
善処する	ぜんしょする
引き摺る	ひきずる 捨てきれずに今なおもちつづける。いつまでも忘れないでいる。 地面などをすって引いて行く、など （受け身の形で）影響される。
劣る	おとる
おとる	劣る
負け惜しみ	自分の負けや失敗をすなおに認めないで強情をはること
自分の負けや失敗をすなおに認めないで強情をはること	負け惜しみ
幾重	いくえ
いくえ	幾重
胸騒ぎ	むなさわぎ
むなさわぎ	胸騒ぎ
引き離す	無理に離れさせる、または間を大きくあける。
無理に離れさせる、または間を大きくあける。	引き離す
打算的	ださんてき
ださんてき	打算的
穿つ	うがつ
うがつ	穿つ
境目	さかいめ 区切りになる所。 物事の分かれ目。
分かれ目	分かれる所。 将来の成り行きが決定する点。
強いる	しいる 相手の気持ちを無視してむりにさせる。 むりにおしつける。 強制する。
強いて言えば	If I must say
If I must say	強いて言えば
追及	ついきゅう
当て付ける	他にかこつけて相手の悪口や皮肉などを言う。また、皮肉な態度をとる。あてこする。 仲のよさを見せつける。
瞬く間	またたくま
またたくま	瞬く間
嘲笑う	あざわらう
あざわらう	嘲笑う
バリサク	baritone saxophone
楽譜	がくふ
無縁	むえん
揉め事	もめごと 争いこと
包む	くるむ
くるむ	包む
拗れる	① 関係や交渉などがもつれてうまくいかなくなる。事態がもつれる。 「余計な口出しで話が－・れてしまった」 ② 病気が治らず長引く。悪化する。 「しろうと療法では病気が－・れてしまう」 ③ 心がねじける。ひねくれる。 「癖づきし心は組糸をときたる如く、はても無く－・れて／暗夜 一葉」
① 関係や交渉などがもつれてうまくいかなくなる。事態がもつれる。 「余計な口出しで話が－・れてしまった」 ② 病気が治らず長引く。悪化する。 「しろうと療法では病気が－・れてしまう」 ③ 心がねじける。ひねくれる。 「癖づきし心は組糸をときたる如く、はても無く－・れて／暗夜 一葉」	拗れる
見透かす	みすかす① （人の胸中などを）悟って知る。みぬく。 「相手の魂胆（こんたん）を－・す」 ② すかして見る。 「お種は硝子（ガラス）越に－・した／多情多恨 紅葉」
ぽろっと	① 軽いものがこぼれ落ちたり、取れたりするさま。 「取っ手が－取れる」 ② 秘密にしていたことをうっかり口にするさま。 「秘密を－もらす」
どうあがいても	no matter what / in any way
枷	かせ
罰が当たる	バチがあたる
バチがあたる	罰が当たる
こてんぱん	＝こてんこてん徹底的にやっつけるさま。やっつけられるさま。
夏場	① 夏の時期。 「 －は観光客で込む」 ② 夏を過ごすのに適した場所。夏場所。 「毎年此（こ）う云う－を目付けて転付（ごろつ）いて歩いて居るんだ／あめりか物語 荷風」
トビケラ	Trichoptera 石蛾
蚊	か
贔屓（ひいき）	① 気に入った人に特に目をかけ世話をすること。気に入ったものを特にかわいがること。「えこ―」「―にしている芸人」「一方だけを―する」 ② 目をかけて世話してくれる人。パトロン。後援者。「御―に挨拶（あいさつ）回りをする」「―すじ」
乱れる	みだれる
みだれる	乱れる
巻き舌	まきじた
まきじた	巻き舌
